type,name,title,desc_lv1,desc_lv2,desc_lv3,desc_lv4,desc_lv5,desc_lv6,desc_lv7,desc_lv8,desc_lv9,desc_lv10,desc_lv11,desc_lv12,desc_lv13,desc_lv14,desc_lv15,raw_html_lv1,raw_html_lv2,raw_html_lv3,raw_html_lv4,raw_html_lv5,raw_html_lv6,raw_html_lv7,raw_html_lv8,raw_html_lv9,raw_html_lv10,raw_html_lv11,raw_html_lv12,raw_html_lv13,raw_html_lv14,raw_html_lv15,tier1,tier2,tier3
Basic ATK,Syllabus: Pop Quiz,Single Target,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Evanescia's ATK to one designated enemy.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Evanescia's ATK to one designated enemy.</span></span>",,,,,,,,,,,,,,,,,
Skill,Discipline: Final Verdict,Blast,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>300%</strong></span></span><span> of Evanescia's ATK to one designated enemy and Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>150%</strong></span></span><span> of Evanescia's ATK to adjacent targets. Additionally gains </span> <span style=""color: #f29e38ff;""><strong>10</strong></span><span> </span><span class=""border-b""><span>Punchline</span></span><span> point(s).</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>300%</strong></span></span><span> of Evanescia's ATK to one designated enemy and Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>150%</strong></span></span><span> of Evanescia's ATK to adjacent targets. Additionally gains </span> <span style=""color: #f29e38ff;""><strong>10</strong></span><span> </span><span class=""border-b""><span>Punchline</span></span><span> point(s).</span></span>",,,,,,,,,,,,,,,,,
Ultimate,Swordsong: Absolution Denied,AoE,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>160%</strong></span></span><span> of Evanescia's ATK to all enemies, then deals 5 instances of DMG, with each instance dealing Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>120%</strong></span></span><span> of Evanescia's ATK to one random enemy target.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Deals Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>160%</strong></span></span><span> of Evanescia's ATK to all enemies, then deals 5 instances of DMG, with each instance dealing Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>120%</strong></span></span><span> of Evanescia's ATK to one random enemy target.</span></span>",,,,,,,,,,,,,,,,,
Technique,Petalfall: Floral Reminiscence,,"<span aria-hidden=""false""><span>Immediately attacks all enemies within a certain range. After entering combat, deals Physical DMG equal to </span> <span style=""color: #f29e38ff;""><strong>100%</strong></span><span> of Evanescia's ATK to all enemies and gains </span> <span style=""color: #f29e38ff;""><strong>20</strong></span><span> point(s) of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>.""</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Immediately attacks all enemies within a certain range. After entering combat, deals Physical DMG equal to </span> <span style=""color: #f29e38ff;""><strong>100%</strong></span><span> of Evanescia's ATK to all enemies and gains </span> <span style=""color: #f29e38ff;""><strong>20</strong></span><span> point(s) of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>.""</span></span>",,,,,,,,,,,,,,,,,
Talent,Youth: Halcyon Evermore,Enhance,"<span aria-hidden=""false""><span>Evanescia gains Elation equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> of her CRIT DMG. When Evanescia gains Energy, she simultaneously gains an equal amount of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>."" When Evanescia gains ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" she simultaneously gains an equal amount of Energy. The ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" gained through this method in a single instance cannot exceed 100 points.<br/>After accumulating </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> Energy, she consumes </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> accumulated amount, and ""Master Fox"" launches </span><span class=""border-b""><span>Follow-Up ATK</span></span><span>, dealing Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Evanescia's ATK to all enemies and regenerating </span> <span style=""color: #f29e38ff;""><strong>10</strong></span><span> Energy for Evanescia. When Evanescia possesses ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"":<br/>Using her Skill deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>16.0%</strong></span></span><span> to the attacked enemy target.<br/>Using her Ultimate deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>24%</strong></span></span><span> to all enemies and deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> to the enemy target randomly attacked by Ultimate. When Ultimate deals </span><span class=""border-b""><span>Elation DMG</span></span><span>, it takes into account ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" at least equal to Max Energy.<br/>""Master Fox's"" </span><span class=""border-b""><span>Follow-Up ATK</span></span><span> deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> of ATK to all enemies.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Evanescia gains Elation equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> of her CRIT DMG. When Evanescia gains Energy, she simultaneously gains an equal amount of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>."" When Evanescia gains ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" she simultaneously gains an equal amount of Energy. The ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" gained through this method in a single instance cannot exceed 100 points.<br/>After accumulating </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> Energy, she consumes </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> accumulated amount, and ""Master Fox"" launches </span><span class=""border-b""><span>Follow-Up ATK</span></span><span>, dealing Physical DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Evanescia's ATK to all enemies and regenerating </span> <span style=""color: #f29e38ff;""><strong>10</strong></span><span> Energy for Evanescia. When Evanescia possesses ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"":<br/>Using her Skill deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>16.0%</strong></span></span><span> to the attacked enemy target.<br/>Using her Ultimate deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>24%</strong></span></span><span> to all enemies and deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> to the enemy target randomly attacked by Ultimate. When Ultimate deals </span><span class=""border-b""><span>Elation DMG</span></span><span>, it takes into account ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" at least equal to Max Energy.<br/>""Master Fox's"" </span><span class=""border-b""><span>Follow-Up ATK</span></span><span> deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>25%</strong></span></span><span> of ATK to all enemies.</span></span>",,,,,,,,,,,,,,,,,
Elation Skill,Scarlet: Elation or Execution,AoE,"<span aria-hidden=""false""><span>Deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> to all enemies and additionally gains </span> <span style=""color: #f29e38ff;""><strong>5</strong></span><span> point(s) of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"".</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Deals Physical </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> to all enemies and additionally gains </span> <span style=""color: #f29e38ff;""><strong>5</strong></span><span> point(s) of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"".</span></span>",,,,,,,,,,,,,,,,,
Adesc,Watch All Revels,ASCEND CALCULATOR A,"Increases Evanescia&#x27;s CRIT Rate by <span style=""color: #f29e38ff;""><strong>30%</strong></span> . When there are <span style=""color: #f29e38ff;""><strong>3</strong></span> or more/<span style=""color: #f29e38ff;""><strong>2</strong></span>/<span style=""color: #f29e38ff;""><strong>1</strong></span> enemy target(s) on the field, her Ultimate&#x27;s bounce count increases by <span style=""color: #f29e38ff;""><strong>1</strong></span> / <span style=""color: #f29e38ff;""><strong>2</strong></span> / <span style=""color: #f29e38ff;""><strong>4</strong></span> . When a teammate with an Elation Skill Participation ID lower than Evanescia&#x27;s gains &quot; Certified Banger ,&quot; Evanescia converts <span style=""color: #f29e38ff;""><strong>50%</strong></span> of it into her own &quot; Certified Banger .&quot;",,,,,,,,,,,,,,,"Increases Evanescia&#x27;s CRIT Rate by <span style=""color: #f29e38ff;""><strong>30%</strong></span> . When there are <span style=""color: #f29e38ff;""><strong>3</strong></span> or more/<span style=""color: #f29e38ff;""><strong>2</strong></span>/<span style=""color: #f29e38ff;""><strong>1</strong></span> enemy target(s) on the field, her Ultimate&#x27;s bounce count increases by <span style=""color: #f29e38ff;""><strong>1</strong></span> / <span style=""color: #f29e38ff;""><strong>2</strong></span> / <span style=""color: #f29e38ff;""><strong>4</strong></span> . When a teammate with an Elation Skill Participation ID lower than Evanescia&#x27;s gains &quot; Certified Banger ,&quot; Evanescia converts <span style=""color: #f29e38ff;""><strong>50%</strong></span> of it into her own &quot; Certified Banger .&quot;",,,,,,,,,,,,,,,,,
Bdesc,Weigh All Truths,ASCEND CALCULATOR B,"When &quot;Master Fox&quot; uses an attack, it additionally inflicts Vulnerability on the target, increasing the DMG they take by <span style=""color: #f29e38ff;""><strong>12%</strong></span> for <span style=""color: #f29e38ff;""><strong>3</strong></span> turn(s).",,,,,,,,,,,,,,,"When &quot;Master Fox&quot; uses an attack, it additionally inflicts Vulnerability on the target, increasing the DMG they take by <span style=""color: #f29e38ff;""><strong>12%</strong></span> for <span style=""color: #f29e38ff;""><strong>3</strong></span> turn(s).",,,,,,,,,,,,,,,,,
Cdesc,Best All Blooms,ASCEND CALCULATOR C,"When a teammate&#x27;s &quot; Certified Banger &quot; ends, Evanescia converts <span style=""color: #f29e38ff;""><strong>50%</strong></span> of it into her own &quot; Certified Banger .&quot;",,,,,,,,,,,,,,,"When a teammate&#x27;s &quot; Certified Banger &quot; ends, Evanescia converts <span style=""color: #f29e38ff;""><strong>50%</strong></span> of it into her own &quot; Certified Banger .&quot;",,,,,,,,,,,,,,,,,
Ddesc,Extra Attributes,ASCEND CALCULATOR D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
