type,name,title,desc_lv1,desc_lv2,desc_lv3,desc_lv4,desc_lv5,desc_lv6,desc_lv7,desc_lv8,desc_lv9,desc_lv10,desc_lv11,desc_lv12,desc_lv13,desc_lv14,desc_lv15,raw_html_lv1,raw_html_lv2,raw_html_lv3,raw_html_lv4,raw_html_lv5,raw_html_lv6,raw_html_lv7,raw_html_lv8,raw_html_lv9,raw_html_lv10,raw_html_lv11,raw_html_lv12,raw_html_lv13,raw_html_lv14,raw_html_lv15,tier1,tier2,tier3
Basic ATK,One Punch!,Single Target,"<span aria-hidden=""false""><span>Deals Imaginary DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Silver Wolf LV.999's ATK to one designated enemy.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Deals Imaginary DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>100%</strong></span></span><span> of Silver Wolf LV.999's ATK to one designated enemy.</span></span>",,,,,,,,,,,,,,,,,
Skill,Trigger Happy,AoE,"<span aria-hidden=""false""><span>Gains </span> <span style=""color: #f29e38ff;""><strong>5</strong></span><span> </span><span class=""border-b""><span>Punchline</span></span><span> point(s) and deals Imaginary DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>160%</strong></span></span><span> of Silver Wolf LV.999's ATK to all enemies.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Gains </span> <span style=""color: #f29e38ff;""><strong>5</strong></span><span> </span><span class=""border-b""><span>Punchline</span></span><span> point(s) and deals Imaginary DMG equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>160%</strong></span></span><span> of Silver Wolf LV.999's ATK to all enemies.</span></span>",,,,,,,,,,,,,,,,,
Ultimate,God Mode: ON!,Enhance,"<span aria-hidden=""false""><span>Enters the ""Godmode Player"" state, and </span><span class=""border-b""><span>advances action</span></span><span> by 100%.<br/>Deploys a Zone while in the ""Godmode Player"" state. While Silver Wolf LV.999 possesses ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" each time an ally target within the Zone consumes 1 Skill Point, there is a chance to trigger 1 time Silver Wolf LV.999's ""</span><span class=""border-b""><span>Top Loot Box</span></span><span>"": Deal Imaginary </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>90%</strong></span></span><span> split evenly among all enemies, and randomly trigger 1 of the following effects:<br/>""Big Flipping Sword"": Additionally deals </span><span class=""border-b""><span>True DMG</span></span><span> to the enemy target with the highest HP equal to </span> <span style=""color: #f29e38ff;""><strong>20%</strong></span><span> of the total DMG dealt this time.<br/>""Kaboom Eggsplosion"": Recovers </span> <span style=""color: #f29e38ff;""><strong>2</strong></span><span> Skill Point(s).<br/>""Funky Munch Bean"": Gains </span> <span style=""color: #f29e38ff;""><strong>3</strong></span><span> </span><span class=""border-b""><span>Punchline(s)</span></span><span>.<br/>The initial </span><span class=""border-b""><span>fixed chance</span></span><span> to trigger this effect is 100%. After successfully triggering, the </span><span class=""border-b""><span>fixed chance</span></span><span> for the subsequent trigger is reduced to </span> <span style=""color: #f29e38ff;""><strong>20%</strong></span><span> of the current chance. If the target is defeated before triggering, this effect triggers on the enemy target that just entered instead.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Enters the ""Godmode Player"" state, and </span><span class=""border-b""><span>advances action</span></span><span> by 100%.<br/>Deploys a Zone while in the ""Godmode Player"" state. While Silver Wolf LV.999 possesses ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" each time an ally target within the Zone consumes 1 Skill Point, there is a chance to trigger 1 time Silver Wolf LV.999's ""</span><span class=""border-b""><span>Top Loot Box</span></span><span>"": Deal Imaginary </span><span class=""border-b""><span>Elation DMG</span></span><span> equal to </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>90%</strong></span></span><span> split evenly among all enemies, and randomly trigger 1 of the following effects:<br/>""Big Flipping Sword"": Additionally deals </span><span class=""border-b""><span>True DMG</span></span><span> to the enemy target with the highest HP equal to </span> <span style=""color: #f29e38ff;""><strong>20%</strong></span><span> of the total DMG dealt this time.<br/>""Kaboom Eggsplosion"": Recovers </span> <span style=""color: #f29e38ff;""><strong>2</strong></span><span> Skill Point(s).<br/>""Funky Munch Bean"": Gains </span> <span style=""color: #f29e38ff;""><strong>3</strong></span><span> </span><span class=""border-b""><span>Punchline(s)</span></span><span>.<br/>The initial </span><span class=""border-b""><span>fixed chance</span></span><span> to trigger this effect is 100%. After successfully triggering, the </span><span class=""border-b""><span>fixed chance</span></span><span> for the subsequent trigger is reduced to </span> <span style=""color: #f29e38ff;""><strong>20%</strong></span><span> of the current chance. If the target is defeated before triggering, this effect triggers on the enemy target that just entered instead.</span></span>",,,,,,,,,,,,,,,,,
Technique,This? Absolute Meta!,Summon,"<span aria-hidden=""false""><span>Summons ""Funky Munch Bean."" Use again to dismiss. Using Technique does not consume Technique Points. When Technique Points reach 0, the summon is dismissed and Technique cannot be used.<br/>""Funky Munch Bean"" causes Normal Enemies within a certain range to enter a Terrified state. It will also automatically search for and attack Normal Enemies, consuming 1 Technique Point to instantly defeat them without entering combat.<br/>While ""Funky Munch Bean"" is present, after entering combat, 1 instance of ""</span><span class=""border-b""><span>Top Loot Box</span></span><span>"" from ""Funky Munch Bean"" is triggered at the start of each wave. The </span><span class=""border-b""><span>Elation DMG</span></span><span> dealt in this instance takes into account a fixed amount of </span> <span style=""color: #f29e38ff;""><strong>99</strong></span><span> ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" points.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Summons ""Funky Munch Bean."" Use again to dismiss. Using Technique does not consume Technique Points. When Technique Points reach 0, the summon is dismissed and Technique cannot be used.<br/>""Funky Munch Bean"" causes Normal Enemies within a certain range to enter a Terrified state. It will also automatically search for and attack Normal Enemies, consuming 1 Technique Point to instantly defeat them without entering combat.<br/>While ""Funky Munch Bean"" is present, after entering combat, 1 instance of ""</span><span class=""border-b""><span>Top Loot Box</span></span><span>"" from ""Funky Munch Bean"" is triggered at the start of each wave. The </span><span class=""border-b""><span>Elation DMG</span></span><span> dealt in this instance takes into account a fixed amount of </span> <span style=""color: #f29e38ff;""><strong>99</strong></span><span> ""</span><span class=""border-b""><span>Certified Banger</span></span><span>"" points.</span></span>",,,,,,,,,,,,,,,,,
Talent,"I Carry, We Win",Enhance,"<span aria-hidden=""false""><span>After reaching </span> <span style=""color: #f29e38ff;""><strong>60</strong></span><span> ""Hidden MMR"" points, the Ultimate can be activated. After reaching the maximum limit, it can overflow by an additional </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> point(s).<br/>When gaining </span><span class=""border-b""><span>Punchline</span></span><span>, Silver Wolf LV.999 gains an equal amount of ""Hidden MMR."" Each point of ""Hidden MMR"" increases CRIT Rate by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0.30%</strong></span></span><span>. After CRIT Rate increases to 100%, each remaining point of ""Hidden MMR"" switches to increasing CRIT DMG by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0.60%</strong></span></span><span>.<br/>While in the ""Godmode Player"" state, Silver Wolf LV.999 is immune to </span><span class=""border-b""><span>Crowd Control debuffs</span></span><span>, her CRIT DMG increases by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0%</strong></span></span><span>, cannot use her Ultimate, and gains Enhanced Basic ATK and Enhanced Elation Skill. After completely using Enhanced Basic ATK </span> <span style=""color: #f29e38ff;""><strong>3</strong></span><span> time(s), she exits the ""Godmode Player"" state. After exiting the ""Godmode Player"" state, ""Hidden MMR"" is cleared.<br/>While in possession of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" using Basic ATK or Skill against attacked enemy targets deals </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>40%</strong></span></span><span> Imaginary </span><span class=""border-b""><span>Elation DMG</span></span><span>. Enhanced Basic ATK's ability DMG is converted to </span><span class=""border-b""><span>Elation DMG</span></span><span> at the same multiplier.</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>After reaching </span> <span style=""color: #f29e38ff;""><strong>60</strong></span><span> ""Hidden MMR"" points, the Ultimate can be activated. After reaching the maximum limit, it can overflow by an additional </span> <span style=""color: #f29e38ff;""><strong>240</strong></span><span> point(s).<br/>When gaining </span><span class=""border-b""><span>Punchline</span></span><span>, Silver Wolf LV.999 gains an equal amount of ""Hidden MMR."" Each point of ""Hidden MMR"" increases CRIT Rate by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0.30%</strong></span></span><span>. After CRIT Rate increases to 100%, each remaining point of ""Hidden MMR"" switches to increasing CRIT DMG by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0.60%</strong></span></span><span>.<br/>While in the ""Godmode Player"" state, Silver Wolf LV.999 is immune to </span><span class=""border-b""><span>Crowd Control debuffs</span></span><span>, her CRIT DMG increases by </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>0%</strong></span></span><span>, cannot use her Ultimate, and gains Enhanced Basic ATK and Enhanced Elation Skill. After completely using Enhanced Basic ATK </span> <span style=""color: #f29e38ff;""><strong>3</strong></span><span> time(s), she exits the ""Godmode Player"" state. After exiting the ""Godmode Player"" state, ""Hidden MMR"" is cleared.<br/>While in possession of ""</span><span class=""border-b""><span>Certified Banger</span></span><span>,"" using Basic ATK or Skill against attacked enemy targets deals </span><span style=""color: #f29e38ff;""> <span style=""color: #f29e38ff;""><strong>40%</strong></span></span><span> Imaginary </span><span class=""border-b""><span>Elation DMG</span></span><span>. Enhanced Basic ATK's ability DMG is converted to </span><span class=""border-b""><span>Elation DMG</span></span><span> at the same multiplier.</span></span>",,,,,,,,,,,,,,,,,
Elation Skill,Pro-Gamer Move,Enhance,"<span aria-hidden=""false""><span>Gains </span> <span style=""color: #f29e38ff;""><strong>15</strong></span><span> ""Hidden MMR"" point(s).</span></span>",,,,,,,,,,,,,,,"<span aria-hidden=""false""><span>Gains </span> <span style=""color: #f29e38ff;""><strong>15</strong></span><span> ""Hidden MMR"" point(s).</span></span>",,,,,,,,,,,,,,,,,
Adesc,False Ending Speedrun,ASCEND CALCULATOR A,"When SPD is <span style=""color: #f29e38ff;""><strong>150</strong></span> or higher, increases this unit&#x27;s Elation by <span style=""color: #f29e38ff;""><strong>30%</strong></span> . For every <span style=""color: #f29e38ff;""><strong>1</strong></span> SPD exceeded, increases this unit&#x27;s Elation by <span style=""color: #f29e38ff;""><strong>2%</strong></span> . Up to a max of <span style=""color: #f29e38ff;""><strong>100</strong></span> excess SPD can be taken into account for this effect.",,,,,,,,,,,,,,,"When SPD is <span style=""color: #f29e38ff;""><strong>150</strong></span> or higher, increases this unit&#x27;s Elation by <span style=""color: #f29e38ff;""><strong>30%</strong></span> . For every <span style=""color: #f29e38ff;""><strong>1</strong></span> SPD exceeded, increases this unit&#x27;s Elation by <span style=""color: #f29e38ff;""><strong>2%</strong></span> . Up to a max of <span style=""color: #f29e38ff;""><strong>100</strong></span> excess SPD can be taken into account for this effect.",,,,,,,,,,,,,,,,,
Bdesc,True Ending Unlocked,ASCEND CALCULATOR B,"When using an Elation Skill, if the number of Punchline points taken into account for this Elation Skill reaches <span style=""color: #f29e38ff;""><strong>20</strong></span> / <span style=""color: #f29e38ff;""><strong>40</strong></span> , gains <span style=""color: #f29e38ff;""><strong>20</strong></span> / <span style=""color: #f29e38ff;""><strong>40</strong></span> &quot;Hidden MMR&quot; points.",,,,,,,,,,,,,,,"When using an Elation Skill, if the number of Punchline points taken into account for this Elation Skill reaches <span style=""color: #f29e38ff;""><strong>20</strong></span> / <span style=""color: #f29e38ff;""><strong>40</strong></span> , gains <span style=""color: #f29e38ff;""><strong>20</strong></span> / <span style=""color: #f29e38ff;""><strong>40</strong></span> &quot;Hidden MMR&quot; points.",,,,,,,,,,,,,,,,,
Cdesc,Secret Level Maxed,ASCEND CALCULATOR C,"After entering the &quot;Godmode Player&quot; state, gains <span style=""color: #f29e38ff;""><strong>20</strong></span> point(s) of &quot;Hidden MMR.&quot;",,,,,,,,,,,,,,,"After entering the &quot;Godmode Player&quot; state, gains <span style=""color: #f29e38ff;""><strong>20</strong></span> point(s) of &quot;Hidden MMR.&quot;",,,,,,,,,,,,,,,,,
Ddesc,Extra Attributes,ASCEND CALCULATOR D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
